user_id,email,forname,family_name,house_id
550e8400-e29b-41d4-a716-446655440002,antoine.quarroz@hevs.ch,Antoine,Quarroz,550e8400-e29b-41d4-a716-446655440002
a1b2c3d4-e5f6-7890-abcd-ef1234567890,adeline.schaller@hevs.ch,Adeline,Schaller,550e8400-e29b-41d4-a716-446655440001
b2c3d4e5-f6g7-8901-bcde-f23456789012,alexandra.bumann@hevs.ch,Alexandra,Bumann,550e8400-e29b-41d4-a716-446655440002
c3d4e5f6-g7h8-9012-cdef-345678901234,alicia.dos@hevs.ch,Alicia,Dos Santos,550e8400-e29b-41d4-a716-446655440003
d4e5f6g7-h8i9-0123-defg-456789012345,amandine.rouiller@hevs.ch,Amandine,Rouiller,550e8400-e29b-41d4-a716-446655440004
e5f6g7h8-i9j0-1234-efgh-567890123456,amelie.theytaz@hevs.ch,Amelie,Theytaz,550e8400-e29b-41d4-a716-446655440001
f6g7h8i9-j0k1-2345-fghi-678901234567,anais.crettaz@hevs.ch,Anais,Crettaz,550e8400-e29b-41d4-a716-446655440002
g7h8i9j0-k1l2-3456-ghij-789012345678,anais.sauthier@hevs.ch,Anais,Sauthier,550e8400-e29b-41d4-a716-446655440003
h8i9j0k1-l2m3-4567-hijk-890123456789,andrea.cina@hevs.ch,Andrea,Cina,550e8400-e29b-41d4-a716-446655440004
i9j0k1l2-m3n4-5678-ijkl-901234567890,angie.carron@hevs.ch,Angie,Carron,550e8400-e29b-41d4-a716-446655440001
j0k1l2m3-n4o5-6789-jklm-012345678901,angie.fellay@hevs.ch,Angie,Fellay,550e8400-e29b-41d4-a716-446655440002
k1l2m3n4-o5p6-7890-klmn-123456789012,angie.giroud@hevs.ch,Angie,Giroud,550e8400-e29b-41d4-a716-446655440003
l2m3n4o5-p6q7-8901-lmno-234567890123,angie.tornay@hevs.ch,Angie,Tornay,550e8400-e29b-41d4-a716-446655440004
m3n4o5p6-q7r8-9012-mnop-345678901234,anja.bumann@hevs.ch,Anja,Bumann,550e8400-e29b-41d4-a716-446655440001
n4o5p6q7-r8s9-0123-nopq-456789012345,anna.cina@hevs.ch,Anna,Cina,550e8400-e29b-41d4-a716-446655440002
o5p6q7r8-s9t0-1234-opqr-567890123456,anna.sauthier@hevs.ch,Anna,Sauthier,550e8400-e29b-41d4-a716-446655440003
p6q7r8s9-t0u1-2345-pqrs-678901234567,anouchka.sauthier@hevs.ch,Anouchka,Sauthier,550e8400-e29b-41d4-a716-446655440004
q7r8s9t0-u1v2-3456-qrst-789012345678,audrey.crettaz@hevs.ch,Audrey,Crettaz,550e8400-e29b-41d4-a716-446655440001
r8s9t0u1-v2w3-4567-rstu-890123456789,audrey.fellay@hevs.ch,Audrey,Fellay,550e8400-e29b-41d4-a716-446655440002
s9t0u1v2-w3x4-5678-stuv-901234567890,audrey.giroud@hevs.ch,Audrey,Giroud,550e8400-e29b-41d4-a716-446655440003
t0u1v2w3-x4y5-6789-tuvw-012345678901,audrey.sauthier@hevs.ch,Audrey,Sauthier,550e8400-e29b-41d4-a716-446655440004
u1v2w3x4-y5z6-7890-uvwx-123456789012,aurelie.crettaz@hevs.ch,Aurelie,Crettaz,550e8400-e29b-41d4-a716-446655440001
v2w3x4y5-z6a7-8901-vwxy-234567890123,aurelie.fellay@hevs.ch,Aurelie,Fellay,550e8400-e29b-41d4-a716-446655440002
w3x4y5z6-a7b8-9012-wxyz-345678901234,aurelie.giroud@hevs.ch,Aurelie,Giroud,550e8400-e29b-41d4-a716-446655440003
